,Arabic name,عبد,# of Passages (as of last update),# of Words (as of last update),Witness ,Formatted,Organized by Story,Uploaded to Github,Last Date Updated,Notes,,,,,,,,,,,,,,,,
75.       ,Muḥammad b. Yaḥyā from “one I trust”,محمد بن يحيى,,,WMYFT,,,,,6/22/23 added to epp from text file. Needs to be formatted and arranged. ,,,,,,,,,,,,,,,,
76.       ,Muḥammad b. Yazīd al-Kalāʿī al-Wāsiṭī,محمد بن يزيد الكلاعي,,,WMYKA,,,,,,,,,,,,,,,,,,,,,
77.       ,Mujāhid b. Jabr al-Makkī,مجاهد بن جبر المكي,,,WMJAH,,,,,,,,,,,,,,,,,,,,,
78.       ,Mūsā b. ʿUqbah,موسى بن عقبة,,,WMUUQ,,,,,,,,,,,,,,,,,,,,,
79.       ,Muthannā b. Zurʿah al-Baṣrī,مثنى بن زرعة البصري,,,WMZAR,,,,,6/21/23 reconciled text file with epp file. ,,,,,,,,,,,,,,,,
80.       ,Nuʿmān b. Thābit b. Zūṭā b. Marzubān Abū Ḥanīfah,ابو حنيفة ,,,WNTZM,,,,,,,,,,,,,,,,,,,,,
81.       ,Saʿdān Saʿīd b. Yaḥyā b. Ṣāliḥ al-Lakhmī al-Kūfī ,سعدان سعيد بن يحيى بن صالح,,,WSYSL,,,,,,,,,,,,,,,,,,,,,
82.       ,Ṣadaqah b. Sābiq al-Muqʿad,صدقة بن سابق المقعد,,,WSSAA,,,,,,,,,,,,,,,,,,,,,
83.       ,Saʿīd b. Bazīʿ,سعيد بن بزيع,,,WSABZ,,,,,,,,,,,,,,,,,,,,,
84.       ,Salamah b. al-Faḍl al-Abrash al-Azraqī al-Anṣārī al-Rāzī,سلمة بن الفضل الابرش الرازي,,,WSFAB,,,,,,,,,,,,,,,,,,,,,
85.       ,Salamah b. Rajāʾ al-Tamīmī al-Kūfī ,سلمة بن رجاء,,,WSRTK,,,,,,,,,,,,,,,,,,,,,
86.       ,Ṣāliḥ b. Abī al-Aswad,صالح بن ابي الاسود,,,WSAAS,,,,,,,,,,,,,,,,,,,,,
87.       ,Sharīk b. ʿAbd Allāh b. Abī Sharīk al-Najaʿī al-Kūfī,شريك بن عبد الله بن ابي شريك النجعي,,,WSASN,,,,,,,,,,,,,,,,,,,,,
88.       ,Shuʿbah b. al-Ḥajjāj b. al-Ward al-ʿAtkī al-Azdī al-Wāsiṭī,شعبه بن الحجاج بن الورد,,,WSHHW,,,,,,,,,,,,,,,,,,,,,
89.       ,Sufyān al-Thawrī al-Kūfī,سفيان الثوري,,,WSTHR,,,,,,,,,,,,,,,,,,,,,
90.       ,Sufyān b. ʿUyaynah,سفيان بن عيينة,,,WSUAI,,,,,,,,,,,,,,,,,,,,,
91.       ,Sulaymān b. Ḥayyān al-Azdī al-Aḥmar al-Kūfī al-Jaʿfarī,سليمان بن حيان اللزدي,,,WSHAK,,,,,,,,,,,,,,,,,,,,,
92.       ,ʿUmar b. Ḥabīb,عمر بن حبيب,,,WUMHA,,,,,,,,,,,,,,,,,,,,,
93.       ,ʿUthmān b. ʿAmr b. Sājj al-Qurashī,عثمان بن عمرو بن ساج,,,WUASQ,,,,,,,,,,,,,,,,,,,,,
94.       ,Yaḥyā b. Muḥammad b. ʿAbbād b. Hānī al-Shajarī al-Madinī,يحيى بن محمد بن عباد بن هاني,,,WYMSH,,,,,,,,,,,,,,,,,,,,,
95.       ,Yaḥyā b. Muḥammad b. Hānīʾi,يحيى بن محمد بن هاني,,,WYMHA,,,,,,,,,,,,,,,,,,,,,
96.       ,Yaḥyā b. Saʿīd b. Abān al-Qurashī al-Umawī al-Kūfī,يحيى بن سعيد بن ابان,,,WYSAU,,,,,,,,,,,,,,,,,,,,,
97.       ,Yaḥyā b. Sulaymān al-Madīnī,يحيى بن سليمان المديني,,,WYSMS,,,,,,,,,,,,,,,,,,,,,
98.       ,Yaḥyā b. Wāḍiḥ al-Anṣārī Abū Tumaylah ,يحيى بن واضح الاصاري ابو تميلة,,,WYWAT,,,,,,,,,,,,,,,,,,,,,
99.       ,Yaʿlā b. ʿUbayd b. Abī Umayyah al-Īyādī al-Tanāfisī al-Kūfī,يعلى بن عبيد بن ابي امية,,,WYUAU,,,,,,,,,,,,,,,,,,,,,
